,titulo,fecha_estreno,retorno,presupuesto,recaudaccion,director
0,Toy Story,1995-10-30,12.4518,30000000,373554033.0,John Lasseter
1,Jumanji,1995-12-15,4.043,65000000,262797249.0,Joe Johnston
2,Grumpier Old Men,1995-12-22,0.0,0,0.0,Howard Deutch
3,Waiting to Exhale,1995-12-22,5.0908,16000000,81452156.0,Forest Whitaker
4,Father of the Bride Part II,1995-02-10,0.0,0,76578911.0,Charles Shyer
5,Heat,1995-12-15,3.1239,60000000,187436818.0,Michael Mann
6,Sabrina,1995-12-15,0.0,58000000,0.0,Sydney Pollack
7,Tom and Huck,1995-12-22,0.0,0,0.0,Peter Hewitt
8,Sudden Death,1995-12-22,1.8386,35000000,64350171.0,Peter Hyams
9,GoldenEye,1995-11-16,6.0723,58000000,352194034.0,Martin Campbell
10,The American President,1995-11-17,1.74,62000000,107879496.0,Rob Reiner
11,Dracula: Dead and Loving It,1995-12-22,0.0,0,0.0,Mel Brooks
12,Balto,1995-12-22,0.0,0,11348324.0,Simon Wells
13,Nixon,1995-12-22,0.3109,44000000,13681765.0,Oliver Stone
14,Cutthroat Island,1995-12-22,0.1022,98000000,10017322.0,Renny Harlin
15,Casino,1995-11-22,2.2329,52000000,116112375.0,Martin Scorsese
16,Sense and Sensibility,1995-12-13,8.1818,16500000,135000000.0,Ang Lee
17,Four Rooms,1995-12-09,1.075,4000000,4300000.0,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino"
18,Ace Ventura: When Nature Calls,1995-11-10,7.0795,30000000,212385533.0,Steve Oedekerk
19,Money Train,1995-11-21,0.5905,60000000,35431113.0,Joseph Ruben
20,Get Shorty,1995-10-20,3.805,30250000,115101622.0,Barry Sonnenfeld
21,Copycat,1995-10-27,0.0,0,0.0,Jon Amiel
22,Assassins,1995-10-06,0.6061,50000000,30303072.0,Richard Donner
23,Powder,1995-10-27,0.0,0,0.0,Victor Salva
24,Leaving Las Vegas,1995-10-27,13.8333,3600000,49800000.0,Mike Figgis
25,Othello,1995-12-15,0.0,0,0.0,Oliver Parker
26,Now and Then,1995-10-20,2.2833,12000000,27400000.0,Lesli Linka Glatter
27,Persuasion,1995-09-27,0.0,0,0.0,Roger Michell
28,The City of Lost Children,1995-05-16,0.0966,18000000,1738611.0,"Jean-Pierre Jeunet, Marc Caro"
29,Shanghai Triad,1995-04-30,0.0,0,0.0,Zhang Yimou
30,Dangerous Minds,1995-08-11,0.0,0,180000000.0,John N. Smith
31,Twelve Monkeys,1995-12-29,5.7234,29500000,168840000.0,Terry Gilliam
