,titulo,cantidad_votos,promedio_votos,año_estreno
0,Toy Story,5415.0,7.7,1995.0
1,Jumanji,2413.0,6.9,1995.0
31,Twelve Monkeys,2470.0,7.4,1995.0
46,Se7en,5915.0,8.1,1995.0
49,The Usual Suspects,3334.0,8.1,1995.0
108,Braveheart,3404.0,7.7,1995.0
109,Taxi Driver,2632.0,8.1,1976.0
162,Die Hard: With a Vengeance,2094.0,6.9,1995.0
256,Star Wars,6778.0,8.1,1977.0
289,Leon: The Professional,4293.0,8.2,1994.0
292,Pulp Fiction,8670.0,8.3,1994.0
314,The Shawshank Redemption,8358.0,8.5,1994.0
351,Forrest Gump,8147.0,8.2,1994.0
359,The Lion King,5520.0,8.0,1994.0
362,The Mask,2550.0,6.6,1994.0
475,Jurassic Park,4956.0,7.6,1993.0
522,Schindler's List,4436.0,8.3,1993.0
536,Blade Runner,3833.0,7.9,1982.0
546,The Nightmare Before Christmas,2135.0,7.6,1993.0
579,Home Alone,2487.0,7.1,1990.0
581,Aladdin,3495.0,7.4,1992.0
582,Terminator 2: Judgment Day,4274.0,7.7,1991.0
585,Batman,2145.0,7.0,1989.0
586,The Silence of the Lambs,4549.0,8.1,1991.0
588,Beauty and the Beast,3029.0,7.5,1991.0
600,Fargo,2080.0,7.7,1996.0
638,Mission: Impossible,2677.0,6.7,1996.0
756,Trainspotting,2737.0,7.8,1996.0
758,Independence Day,3334.0,6.7,1996.0
832,The Godfather,6024.0,8.5,1972.0
895,2001: A Space Odyssey,3075.0,7.9,1968.0
1005,Die Hard,4005.0,7.5,1988.0
1055,Reservoir Dogs,3821.0,8.1,1992.0
1063,E.T. the Extra-Terrestrial,3359.0,7.3,1982.0
1150,One Flew Over the Cuckoo's Nest,3001.0,8.3,1975.0
1152,The Empire Strikes Back,5998.0,8.2,1980.0
1154,Raiders of the Lost Ark,3949.0,7.7,1981.0
1156,Aliens,3282.0,7.7,1986.0
1157,"The Good, the Bad and the Ugly",2371.0,8.1,1966.0
1159,12 Angry Men,2130.0,8.2,1957.0
1161,A Clockwork Orange,3432.0,8.0,1971.0
1163,Apocalypse Now,2112.0,8.0,1979.0
1165,Return of the Jedi,4763.0,7.9,1983.0
1168,GoodFellas,3211.0,8.2,1990.0
1169,Alien,4564.0,7.9,1979.0
1174,Psycho,2405.0,8.3,1960.0
1176,The Godfather: Part II,3418.0,8.3,1974.0
1177,Full Metal Jacket,2595.0,7.9,1987.0
1193,The Terminator,4208.0,7.4,1984.0
1199,Dead Poets Society,2786.0,8.1,1989.0
1211,The Shining,3890.0,8.1,1980.0
1218,Groundhog Day,2358.0,7.4,1993.0
1223,Back to the Future,6239.0,8.0,1985.0
1244,Indiana Jones and the Last Crusade,3221.0,7.6,1989.0
1336,Jaws,2628.0,7.5,1975.0
1458,The Fifth Element,3962.0,7.3,1997.0
1471,The Lost World: Jurassic Park,2528.0,6.2,1997.0
1505,Men in Black,4521.0,6.9,1997.0
1601,The Truman Show,4702.0,7.8,1998.0
1621,Good Will Hunting,2880.0,7.9,1997.0
1636,Titanic,7770.0,7.5,1997.0
1647,The Big Lebowski,3001.0,7.8,1998.0
1795,Mulan,2089.0,7.6,1998.0
1805,Armageddon,2540.0,6.5,1998.0
1856,The Breakfast Club,2189.0,7.8,1985.0
1885,The Exorcist,2046.0,7.5,1973.0
1899,Back to the Future Part II,3926.0,7.4,1989.0
1900,Back to the Future Part III,2978.0,7.1,1990.0
1916,Saving Private Ryan,5148.0,7.9,1998.0
2003,Indiana Jones and the Temple of Doom,2841.0,7.1,1984.0
2175,Edward Scissorhands,3731.0,7.5,1990.0
2208,Life Is Beautiful,3643.0,8.3,1997.0
2213,American History X,3120.0,8.2,1998.0
2239,A Bug's Life,2379.0,6.8,1998.0
2455,The Matrix,9079.0,7.9,1999.0
2500,The Mummy,2796.0,6.6,1999.0
2511,Star Wars: Episode I - The Phantom Menace,4526.0,6.4,1999.0
2588,American Pie,2358.0,6.4,1999.0
2598,Ghostbusters,2431.0,7.3,1984.0
2644,The Sixth Sense,3223.0,7.7,1999.0
2739,American Beauty,3438.0,7.9,1999.0
2834,Home Alone 2: Lost in New York,2459.0,6.3,1992.0
2840,Fight Club,9678.0,8.3,1999.0
2881,Princess Mononoke,2041.0,8.2,1997.0
2994,Toy Story 2,3914.0,7.3,1999.0
3027,The Green Mile,4166.0,8.2,1999.0
3403,Predator,2129.0,7.3,1987.0
3410,American Psycho,2128.0,7.3,2000.0
3453,Gladiator,5566.0,7.9,2000.0
3666,X-Men,4172.0,6.8,2000.0
3819,Requiem for a Dream,2525.0,7.9,2000.0
3881,Snatch,2953.0,7.7,2000.0
3892,Cast Away,3304.0,7.5,2000.0
4094,Memento,4168.0,8.1,2000.0
4130,Scarface,3017.0,8.0,1983.0
4137,The Mummy Returns,2258.0,6.0,2001.0
4173,Shrek,4183.0,7.3,2001.0
4234,Lara Croft: Tomb Raider,2235.0,5.7,2001.0
4236,The Fast and the Furious,3485.0,6.6,2001.0
4237,A.I. Artificial Intelligence,2011.0,6.8,2001.0
4504,Jurassic Park III,2109.0,5.7,2001.0
4743,Donnie Darko,3574.0,7.7,2001.0
4751,"Monsters, Inc.",6150.0,7.5,2001.0
4761,Harry Potter and the Philosopher's Stone,7188.0,7.5,2001.0
4828,Ocean's Eleven,3857.0,7.2,2001.0
4838,Amélie,3403.0,7.8,2001.0
4858,The Lord of the Rings: The Fellowship of the Ring,8892.0,8.0,2001.0
4860,A Beautiful Mind,3087.0,7.7,2001.0
5079,Ice Age,3954.0,7.1,2002.0
5080,Resident Evil,2100.0,6.4,2002.0
5210,Spider-Man,5398.0,6.8,2002.0
